bootstrap_replicate,sample_size,active_count,inactive_count,classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
3512,181,20,161,Logistic Regression,0.9552795031055901,0.9770186335403727,0.021739130434782594,0.6425745832827876,0.8941773531049847,0.2516027698221971,0.6296713389725407,0.7007656141419543,0.07109427516941358,0.6440677966101694,0.7169811320754716,0.07291333546530221
3512,181,20,161,RBF-SVM,0.9531055900621117,0.9813664596273292,0.02826086956521745,0.6995629370629369,0.8533836485152275,0.1538207114522906,0.580222555585563,0.7285186322821915,0.14829607669662848,0.625,0.7450980392156863,0.12009803921568629
3512,181,20,161,Random Forest,0.9518633540372671,0.9878881987577639,0.03602484472049683,0.5722155931238413,0.9209425314107977,0.34872693828695644,0.7098233296080733,0.7007656141419543,-0.009057715466118998,0.7391304347826086,0.7169811320754716,-0.022149302707136997
3512,181,20,161,XGBoost,0.9757763975155279,0.9875776397515529,0.011801242236024967,0.7841825325704045,0.9219232238349886,0.1377406912645841,0.7264224849048023,0.7782766887401571,0.05185420383535477,0.75,0.8,0.050000000000000044
3513,181,20,161,Logistic Regression,0.9608695652173912,0.9692546583850931,0.008385093167701863,0.7092090126648949,0.8934736020378815,0.18426458937298662,0.6079189506370989,0.7782766887401571,0.1703577381030582,0.631578947368421,0.8,0.16842105263157903
3513,181,20,161,RBF-SVM,0.967391304347826,0.9801242236024845,0.01273291925465847,0.7925743514615466,0.8452600250626566,0.052685673601109984,0.6776891751317226,0.7782766887401571,0.10058751360843454,0.7083333333333334,0.8,0.09166666666666667
3513,181,20,161,Random Forest,0.9541925465838509,0.9885093167701864,0.0343167701863355,0.6710012083772763,0.9366806722689076,0.26567946389163133,0.6936071270909264,0.710823609093172,0.01721648200224557,0.7272727272727273,0.7346938775510204,0.007421150278293154
3513,181,20,161,XGBoost,0.9788819875776397,0.987888198757764,0.009006211180124346,0.8694105077928608,0.9194179894179895,0.05000748162512869,0.7264224849048023,0.807781643652141,0.08135915874733868,0.75,0.8292682926829268,0.07926829268292679
3514,181,20,161,Logistic Regression,0.9698757763975155,0.9739130434782609,0.004037267080745366,0.8160103596094308,0.8509043040293041,0.03489394441987326,0.651617652013316,0.7922788034493561,0.14066115143604008,0.6666666666666666,0.8085106382978723,0.14184397163120566
3514,181,20,161,RBF-SVM,0.9739130434782608,0.9847826086956523,0.010869565217391464,0.8060695196221512,0.8973054572706274,0.09123593764847615,0.6776891751317226,0.7588665789385283,0.08117740380680571,0.7083333333333334,0.7755102040816326,0.06717687074829926
3514,181,20,161,Random Forest,0.9639751552795031,0.9860248447204969,0.022049689440993836,0.7023712528439698,0.9099583485568139,0.20758709571284406,0.6761243459831097,0.7588665789385283,0.0827422329554186,0.7111111111111111,0.7755102040816326,0.06439909297052149
