model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
ESM-2 Random Forest,ESM-2,Random Forest,0.2,181,20,161,0.11049723756906077,143,18,0,20,38,1.0,0.8881987577639752,0.5263157894736842,0.0856353591160221,0.775,-0.11187845303867405,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.21,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.08699909084551367,0.7873417721518988,-0.12595286383663193,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.22,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.08556452755347782,0.7743589743589743,-0.1403881569627426,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.23,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.08409270287723326,0.7610389610389611,-0.15519839276745356,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.24,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.08258214597266647,0.7473684210526316,-0.17039837161965687,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.25,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.08103130755064457,0.7333333333333334,-0.18600368324125233,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.26,181,20,161,0.11049723756906077,145,16,0,20,36,1.0,0.9006211180124224,0.5555555555555556,0.07943855457667612,0.7189189189189189,-0.2020307600418098,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.27,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.07984560659956103,0.7226027397260273,-0.21849693483690313,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.28,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.07826887661141804,0.7083333333333333,-0.23542050337630455,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.29,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.07664773169403158,0.6936619718309858,-0.25282079215625247,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.3,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.07498026835043409,0.6785714285714285,-0.270718232044199,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.31,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.07326447273600768,0.6630434782608695,-0.2891344383057091,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.32,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.07149821254468638,0.6470588235294118,-0.30809229769255775,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.33,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.06967922816854952,0.6305970149253731,-0.3276160633297602,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.34,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.06780512305374183,0.6136363636363635,-0.34773145822869594,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.35,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.06587335316617085,0.5961538461538463,-0.36846578835529115,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.36,181,20,161,0.11049723756906077,146,15,0,20,35,1.0,0.906832298136646,0.5714285714285714,0.06388121546961326,0.578125,-0.3898480662983426,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.37,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.05630097342804525,0.5095238095238095,-0.41190914671577666,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.38,181,20,161,0.11049723756906077,146,15,1,19,34,0.95,0.906832298136646,0.5588235294117647,0.05417929067902334,0.49032258064516127,-0.4346818748886117,0.0,True,True,True
